Source,Target,Type,Id,Label,timeset,Weight
182513,2996029,Directed,1,,,1
182513,3475204,Directed,2,,,1
182513,4336416,Directed,3,,,1
182513,5400033,Directed,4,,,1
182513,20044768,Directed,5,,,1
182513,22892068,Directed,6,,,1
182513,120175009,Directed,7,,,1
182513,137678590,Directed,8,,,1
182513,318446239,Directed,9,,,1
681368,1687066,Directed,10,,,1
681368,1895348,Directed,11,,,1
681368,6660444,Directed,12,,,1
681368,20030036,Directed,13,,,1
681368,29361763,Directed,14,,,1
681368,32926102,Directed,15,,,1
681368,45862629,Directed,16,,,1
681368,57872530,Directed,17,,,1
681368,103900446,Directed,18,,,1
681368,141954856,Directed,19,,,1
681368,156763202,Directed,20,,,1
681368,284700336,Directed,21,,,1
681368,445656147,Directed,22,,,1
918798,4956469,Directed,23,,,1
918798,27942474,Directed,24,,,1
918798,37478140,Directed,25,,,1
918798,103773061,Directed,26,,,1
918798,132462259,Directed,27,,,1
918798,142988085,Directed,28,,,1
1024192,3475204,Directed,29,,,1
1024192,4956469,Directed,30,,,1
1024192,13400887,Directed,31,,,1
1024192,13493426,Directed,32,,,1
1024192,24238237,Directed,33,,,1
1024192,24364207,Directed,34,,,1
1024192,35413398,Directed,35,,,1
1024192,50179770,Directed,36,,,1
1024192,140113405,Directed,37,,,1
1024192,161359926,Directed,38,,,1
1024192,171358806,Directed,39,,,1
1024192,182961149,Directed,40,,,1
1687066,681368,Directed,41,,,1
1687066,1895348,Directed,42,,,1
1687066,7299879,Directed,43,,,1
1687066,11868865,Directed,44,,,1
1687066,15604345,Directed,45,,,1
1687066,21245937,Directed,46,,,1
1687066,64971391,Directed,47,,,1
1687066,298914898,Directed,48,,,1
1895348,681368,Directed,49,,,1
1895348,1687066,Directed,50,,,1
1895348,7299879,Directed,51,,,1
1895348,11868865,Directed,52,,,1
1895348,15604345,Directed,53,,,1
1895348,20030036,Directed,54,,,1
1895348,21245937,Directed,55,,,1
1895348,64971391,Directed,56,,,1
1895348,298914898,Directed,57,,,1
2708616,23049459,Directed,58,,,1
2708616,55672956,Directed,59,,,1
2708616,146047034,Directed,60,,,1
2708616,157526722,Directed,61,,,1
2708616,157723522,Directed,62,,,1
2708616,161246244,Directed,63,,,1
2708616,368738107,Directed,64,,,1
2996029,182513,Directed,65,,,1
2996029,3475204,Directed,66,,,1
2996029,20044768,Directed,67,,,1
